ncicId,Icd,Icd2,InconsistentFor,Sex,SexConsistency,LowerAgeLimit,UpperAgeLimit,AgeConsistency,RareDisease,PromptRare,UnderlyingCauseUse,PromptUc,NationalExtension,YearStart,YearEnd,DateIn,UserIn,DateOut,UserOut,Comments
218,"A490",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
219,"A491",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
220,"A492",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
221,"A493",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
222,"A498",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
223,"A499",,,"9","9",999,999,"9","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
224,"A500",,,"9","9",0,201,"M","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
225,"A501",,,"9","9",0,201,"M","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
226,"A502",,,"9","9",0,201,"M","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
227,"A503",,,"9","9",202,324,"C","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
228,"A504",,,"9","9",202,324,"C","N",,"Y",,0,2019,2050,"2016-01-01 00:00:00","Iris",,,
